h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,Ds_v3,Hr,Fp,Cc,Ec,Od_v2,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,score_construction,score_protected,Ra,composite_v3,zone,demand_grade,is_hub_v3,hub_rank_v3,is_hub_v2
8930e152e03ffff,37.4231,127.1872,41133670,도촌동,중원구,0.2121,0.2827,0.1929,0.1258,0.1746,0.2851,0.0,1.0,0.9931,1.0,0.8,1.0,0.6,0.3831,0.0575,일반,C-보통,0,0.0,0
8930e1c8a3bffff,37.4515,127.1214,41131540,태평1동,수정구,0.1997,0.4513,0.151,0.0916,0.0521,0.1865,0.0,0.9125,0.9057,1.0,0.8,1.0,0.6,0.5029,0.0754,일반,D-낮음,0,0.0,0
8930e026cdbffff,37.3883,127.0454,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,0.0,1.0,1.0,1.0,0.8,1.0,0.6,0.4787,0.0718,일반,C-보통,0,0.0,0
8930e1c9dcbffff,37.4413,127.0891,41131640,고등동,수정구,0.1394,0.1689,0.1177,0.0919,0.1591,0.1562,0.0,1.0,1.0,1.0,0.8,1.0,0.6,0.0,0.0,부적합,D-낮음,0,0.0,0
8930e152333ffff,37.4177,127.1736,41133670,도촌동,중원구,0.2121,0.2827,0.1929,0.1258,0.1746,0.2851,0.0,1.0,0.9931,1.0,0.8,1.0,0.6,0.3788,0.0568,일반,C-보통,0,0.0,0
8930e024997ffff,37.3502,127.1207,41135665,구미1동,분당구,0.2718,0.208,0.2213,0.3151,0.3578,0.2731,1.0,0.5625,0.952,1.0,0.8,1.0,0.6,0.7001,0.3235,Hybrid,C-보통,0,0.0,0
8930e1c9237ffff,37.4052,127.0468,41131650,시흥동,수정구,0.1912,0.0966,0.2613,0.1288,0.3082,0.1828,0.0,1.0,1.0,1.0,0.8,0.4,0.6,0.545,0.0818,일반,D-낮음,0,0.0,0
8930e026b0fffff,37.3637,127.0931,41135662,금곡동,분당구,0.3242,0.3961,0.2918,0.2717,0.2575,0.4062,0.0,1.0,0.8817,1.0,0.8,0.65,0.6,0.5402,0.081,일반,C-보통,0,0.0,0
8930e1536c3ffff,37.3726,127.1017,41135662,금곡동,분당구,0.3242,0.3961,0.2918,0.2717,0.2575,0.4062,0.0,1.0,0.8132,1.0,0.8,0.65,0.6,0.3778,0.0567,일반,C-보통,0,0.0,0
8930e026bd3ffff,37.3668,127.0802,41135662,금곡동,분당구,0.3242,0.3961,0.2918,0.2717,0.2575,0.4062,0.0,1.0,1.0,1.0,0.8,0.65,0.6,0.6071,0.0911,로봇전용,C-보통,0,0.0,0
8930e1c886fffff,37.4638,127.1251,41131620,복정동,수정구,0.229,0.3984,0.1664,0.117,0.2038,0.2129,0.0,0.825,0.904,1.0,0.8,1.0,0.6,0.5827,0.0874,로봇전용,C-보통,0,0.0,0
8930e026147ffff,37.3766,127.0366,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.5709,0.4936,Hybrid,C-보통,0,0.0,0
8930e1cd2d3ffff,37.4564,127.1612,41131610,양지동,수정구,0.0625,0.1412,0.0467,0.0414,0.0028,0.0603,0.0,0.7375,0.5032,1.0,0.8,1.0,0.6,0.518,0.0777,일반,E-부적합,0,0.0,0
8930e1504d3ffff,37.3971,127.1561,41135640,야탑3동,분당구,0.2482,0.47,0.2326,0.0953,0.2688,0.0755,0.0,1.0,1.0,1.0,0.8,1.0,0.6,0.5509,0.0826,로봇전용,C-보통,0,0.0,0
8930e15222bffff,37.4055,127.1569,41135640,야탑3동,분당구,0.2482,0.47,0.2326,0.0953,0.2688,0.0755,0.0,0.9125,0.8577,1.0,0.8,1.0,0.6,0.4736,0.071,일반,C-보통,0,0.0,0
8930e1530d7ffff,37.383,127.1209,41135580,서현1동,분당구,0.68,0.388,0.638,0.9968,0.6063,0.8988,0.0,0.3,0.9143,1.0,0.8,1.0,0.6,0.678,0.1017,로봇전용,A-최우선,0,0.0,0
8930e024d73ffff,37.3487,127.1101,41135665,구미1동,분당구,0.2718,0.208,0.2213,0.3151,0.3578,0.2731,1.0,0.3,0.6623,1.0,0.8,1.0,0.6,0.7363,0.1915,로봇전용,C-보통,0,0.0,0
8930e1535bbffff,37.406,127.1307,41135630,야탑2동,분당구,0.1277,0.1182,0.0652,0.0929,0.0894,0.3241,0.0,1.0,0.8406,1.0,0.8,1.0,0.6,0.551,0.0826,일반,D-낮음,0,0.0,0
8930e15311bffff,37.3871,127.1448,41135580,서현1동,분당구,0.68,0.388,0.638,0.9968,0.6063,0.8988,0.0,1.0,1.0,1.0,0.8,1.0,0.6,0.472,0.0708,일반,A-최우선,0,0.0,0
8930e024db7ffff,37.3628,127.1113,41135545,정자동,분당구,0.1949,0.2174,0.2081,0.1436,0.0869,0.3521,0.0,1.0,0.7686,1.0,0.8,0.3,0.6,0.7045,0.1057,일반,D-낮음,0,0.0,0
8930e1cd28fffff,37.4597,127.1693,41133560,은행2동,중원구,0.1931,0.436,0.122,0.1345,0.032,0.1761,0.0,0.9125,0.6606,1.0,0.8,1.0,0.6,0.5427,0.0814,일반,D-낮음,0,0.0,0
8930e026103ffff,37.3822,127.037,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.0,0.408,드론전용,C-보통,0,0.0,0
8930e1c9bbbffff,37.4182,127.1134,41131650,시흥동,수정구,0.1912,0.0966,0.2613,0.1288,0.3082,0.1828,0.0,1.0,0.9212,1.0,0.8,0.4,0.6,0.439,0.0658,일반,D-낮음,0,0.0,0
8930e152123ffff,37.4357,127.1778,41133570,상대원1동,중원구,0.5002,0.5088,0.291,0.1465,0.9372,0.6536,0.0,0.3,0.796,1.0,0.8,0.4,0.6,0.4456,0.0668,일반,A-최우선,0,0.0,1
8930e15226fffff,37.3999,127.1564,41135640,야탑3동,분당구,0.2482,0.47,0.2326,0.0953,0.2688,0.0755,0.0,1.0,1.0,1.0,0.8,1.0,0.6,0.4255,0.0638,일반,C-보통,0,0.0,0
8930e152607ffff,37.4212,127.1346,41133670,도촌동,중원구,0.2121,0.2827,0.1929,0.1258,0.1746,0.2851,0.0,0.9125,0.8629,1.0,0.8,1.0,0.6,0.4115,0.0617,일반,C-보통,0,0.0,0
8930e1534b3ffff,37.4013,127.1119,41135655,삼평동,분당구,0.6423,0.1843,1.0,0.4466,1.0,0.7125,0.0,0.3,0.9057,1.0,0.8,0.34,0.6,0.5636,0.0845,로봇전용,A-최우선,0,0.0,0
8930e1cd66bffff,37.4582,127.1587,41131590,단대동,수정구,0.0914,0.204,0.0764,0.0417,0.0164,0.09,0.0,0.825,0.5034,1.0,0.8,1.0,0.6,0.5085,0.0763,일반,E-부적합,0,0.0,0
8930e0269c3ffff,37.3848,127.0843,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,0.0,1.0,0.9794,1.0,0.8,1.0,0.6,0.0,0.0,부적합,C-보통,0,0.0,0
8930e026ea7ffff,37.3779,127.0602,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,0.0,1.0,0.9777,1.0,0.8,1.0,0.6,0.4779,0.0717,일반,C-보통,0,0.0,0
8930e1c9ab3ffff,37.4134,127.0946,41131650,시흥동,수정구,0.1912,0.0966,0.2613,0.1288,0.3082,0.1828,0.0,0.3,0.988,1.0,0.8,0.4,0.6,0.4623,0.0693,일반,D-낮음,0,0.0,0
8930e15201bffff,37.4266,127.1482,41133660,하대원동,중원구,0.1504,0.2175,0.1098,0.0897,0.1161,0.2195,0.0,0.5625,0.6846,1.0,0.8,1.0,0.6,0.5274,0.0791,일반,D-낮음,0,0.0,0
8930e1c9d07ffff,37.4456,127.0999,41131630,신촌동,수정구,0.028,0.0501,0.0271,0.0012,0.038,0.0147,0.0,1.0,0.9057,1.0,0.8,1.0,0.6,0.459,0.0689,일반,E-부적합,0,0.0,0
8930e152ec7ffff,37.4238,127.182,41133670,도촌동,중원구,0.2121,0.2827,0.1929,0.1258,0.1746,0.2851,0.0,1.0,0.9503,1.0,0.8,1.0,0.6,0.4669,0.07,일반,C-보통,0,0.0,0
8930e1c9823ffff,37.4252,127.1035,41131650,시흥동,수정구,0.1912,0.0966,0.2613,0.1288,0.3082,0.1828,0.0,0.825,0.8149,1.0,0.8,0.4,0.6,0.4292,0.0644,일반,D-낮음,0,0.0,0
8930e1533abffff,37.3723,127.1488,41135510,분당동,분당구,0.1296,0.2834,0.1398,0.0352,0.0552,0.0845,0.0,0.9125,0.9314,1.0,0.8,1.0,0.6,0.5392,0.0809,일반,D-낮음,0,0.0,0
8930e026c17ffff,37.3926,127.0562,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,0.0,0.7375,0.8594,1.0,0.8,1.0,0.6,0.4996,0.0749,일반,C-보통,0,0.0,0
8930e0268bbffff,37.3833,127.0738,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,0.0,0.9125,0.9349,1.0,0.8,1.0,0.6,0.4743,0.0711,일반,C-보통,0,0.0,0
8930e1c99abffff,37.4362,127.1175,41131640,고등동,수정구,0.1394,0.1689,0.1177,0.0919,0.1591,0.1562,0.0,1.0,0.9949,1.0,0.8,1.0,0.6,0.6751,0.1013,일반,D-낮음,0,0.0,0
8930e1c9e8fffff,37.4217,127.0743,41131650,시흥동,수정구,0.1912,0.0966,0.2613,0.1288,0.3082,0.1828,0.0,1.0,0.9691,1.0,0.8,0.4,0.6,0.4862,0.0729,일반,D-낮음,0,0.0,0
8930e1cd3dbffff,37.4612,127.18,41133560,은행2동,중원구,0.1931,0.436,0.122,0.1345,0.032,0.1761,0.0,1.0,1.0,1.0,0.8,1.0,0.6,0.5616,0.0842,일반,D-낮음,0,0.0,0
8930e1532a3ffff,37.3675,127.13,41135540,수내3동,분당구,0.081,0.125,0.0845,0.0703,0.0217,0.0964,0.0,0.825,0.9023,1.0,0.8,1.0,0.6,0.5897,0.0885,일반,E-부적합,0,0.0,0
8930e026c97ffff,37.3989,127.0515,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,0.0,1.0,0.9966,1.0,0.8,1.0,0.6,0.0,0.0,부적합,C-보통,0,0.0,0
8930e1c98a3ffff,37.4315,127.0987,41131640,고등동,수정구,0.1394,0.1689,0.1177,0.0919,0.1591,0.1562,0.0,1.0,0.892,1.0,0.8,1.0,0.6,0.5158,0.0774,일반,D-낮음,0,0.0,0
8930e1c9d87ffff,37.4519,127.0952,41131630,신촌동,수정구,0.028,0.0501,0.0271,0.0012,0.038,0.0147,0.0,1.0,0.9794,1.0,0.8,1.0,0.6,0.4382,0.0657,일반,E-부적합,0,0.0,0
8930e152cb7ffff,37.4525,127.1924,41133570,상대원1동,중원구,0.5002,0.5088,0.291,0.1465,0.9372,0.6536,0.0,1.0,1.0,1.0,0.8,0.4,0.6,0.5655,0.0848,로봇전용,A-최우선,0,0.0,0
8930e024953ffff,37.3361,127.1195,41135670,구미동,분당구,0.3798,0.4201,0.3347,0.4625,0.3012,0.3673,1.0,0.9125,0.8612,1.0,0.8,0.34,0.6,0.6424,0.2054,Hybrid,B-높음,0,0.0,0
8930e15319bffff,37.3934,127.1401,41135600,이매1동,분당구,0.141,0.1453,0.2138,0.1033,0.1127,0.1246,0.0,1.0,1.0,1.0,0.8,1.0,0.6,0.5738,0.0861,일반,D-낮음,0,0.0,0
8930e153223ffff,37.3612,127.1348,41135540,수내3동,분당구,0.081,0.125,0.0845,0.0703,0.0217,0.0964,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.5368,0.4885,Hybrid,E-부적합,0,0.0,0
8930e1cd353ffff,37.4577,127.1849,41133570,상대원1동,중원구,0.5002,0.5088,0.291,0.1465,0.9372,0.6536,0.0,1.0,1.0,1.0,0.8,0.4,0.6,0.5506,0.0826,로봇전용,A-최우선,0,0.0,0
8930e0249dbffff,37.3395,127.1146,41135670,구미동,분당구,0.3798,0.4201,0.3347,0.4625,0.3012,0.3673,1.0,0.9125,0.8663,1.0,0.8,0.34,0.6,0.6446,0.2063,Hybrid,B-높음,0,0.0,0
8930e026b8fffff,37.37,127.0883,41135662,금곡동,분당구,0.3242,0.3961,0.2918,0.2717,0.2575,0.4062,0.0,1.0,0.9949,1.0,0.8,0.65,0.6,0.4819,0.0723,일반,C-보통,0,0.0,0
8930e15048fffff,37.4003,127.1643,41135640,야탑3동,분당구,0.2482,0.47,0.2326,0.0953,0.2688,0.0755,0.0,1.0,0.9949,1.0,0.8,1.0,0.6,0.43,0.0645,일반,C-보통,0,0.0,0
8930e1526cbffff,37.4169,127.1237,41133670,도촌동,중원구,0.2121,0.2827,0.1929,0.1258,0.1746,0.2851,0.0,0.825,0.7789,1.0,0.8,1.0,0.6,0.6538,0.0981,로봇전용,C-보통,0,0.0,0
8930e152377ffff,37.412,127.1732,41133670,도촌동,중원구,0.2121,0.2827,0.1929,0.1258,0.1746,0.2851,0.0,1.0,1.0,1.0,0.8,1.0,0.6,0.4868,0.073,일반,C-보통,0,0.0,0
8930e153093ffff,37.3886,127.1213,41135580,서현1동,분당구,0.68,0.388,0.638,0.9968,0.6063,0.8988,0.0,0.3,0.952,1.0,0.8,1.0,0.6,0.6993,0.1049,로봇전용,A-최우선,0,0.0,0
8930e024d2fffff,37.3519,127.1182,41135665,구미1동,분당구,0.2718,0.208,0.2213,0.3151,0.3578,0.2731,1.0,0.65,0.9246,1.0,0.8,1.0,0.6,0.701,0.3503,Hybrid,C-보통,0,0.0,0
8930e153577ffff,37.3969,127.1351,41135600,이매1동,분당구,0.141,0.1453,0.2138,0.1033,0.1127,0.1246,0.0,0.9125,0.7035,1.0,0.8,1.0,0.6,0.4514,0.0677,일반,D-낮음,0,0.0,0
8930e1cd24bffff,37.4455,127.1681,41133530,금광1동,중원구,0.1143,0.1917,0.1348,0.0933,0.0176,0.1151,0.0,0.7375,0.7,1.0,0.8,1.0,0.6,0.4393,0.0659,일반,D-낮음,0,0.0,0
8930e026a87ffff,37.3652,127.0696,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,1.0,0.9125,0.82,1.0,0.8,1.0,0.6,0.6533,0.4033,Hybrid,C-보통,0,0.0,0
8930e1514cbffff,37.3454,127.136,41135670,구미동,분당구,0.3798,0.4201,0.3347,0.4625,0.3012,0.3673,1.0,1.0,1.0,1.0,0.8,0.34,0.6,0.5461,0.2206,Hybrid,B-높음,0,0.0,0
8930e1c9b77ffff,37.4091,127.1178,41135655,삼평동,분당구,0.6423,0.1843,1.0,0.4466,1.0,0.7125,0.0,0.825,0.9297,1.0,0.8,0.34,0.6,0.5206,0.0781,일반,A-최우선,0,0.0,0
8930e1c9e0fffff,37.4154,127.0791,41131650,시흥동,수정구,0.1912,0.0966,0.2613,0.1288,0.3082,0.1828,0.0,1.0,0.9143,1.0,0.8,0.4,0.6,0.4197,0.063,일반,D-낮음,0,0.0,0
8930e1525c3ffff,37.4471,127.1446,41131520,신흥2동,수정구,0.1425,0.2116,0.2118,0.074,0.0703,0.1228,0.0,0.7375,0.5049,1.0,0.8,1.0,0.6,0.4682,0.0702,일반,D-낮음,0,0.0,0
8930e1c992bffff,37.4299,127.1222,41133510,성남동,중원구,0.6301,1.0,0.3908,0.4586,0.3014,1.0,0.0,1.0,0.9349,1.0,0.8,0.34,0.6,0.5402,0.081,일반,A-최우선,0,0.0,0
8930e024c27ffff,37.3472,127.0995,41135662,금곡동,분당구,0.3242,0.3961,0.2918,0.2717,0.2575,0.4062,1.0,1.0,0.8097,1.0,0.8,0.65,0.6,0.489,0.2881,Hybrid,C-보통,0,0.0,0
8930e15346fffff,37.3847,127.1184,41135520,수내1동,분당구,0.4597,0.2856,0.276,0.8209,0.4778,0.489,0.0,0.3875,0.94,1.0,0.8,1.0,0.6,0.7687,0.1153,로봇전용,B-높음,1,5.0,0
8930e1c8bc3ffff,37.4593,127.1273,41131620,복정동,수정구,0.229,0.3984,0.1664,0.117,0.2038,0.2129,0.0,0.3,0.8337,1.0,0.8,1.0,0.6,0.6143,0.0921,로봇전용,C-보통,0,0.0,0
8930e02683bffff,37.377,127.0785,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,0.0,1.0,0.9349,1.0,0.8,1.0,0.6,0.4623,0.0693,일반,C-보통,0,0.0,0
8930e1cd627ffff,37.4688,127.1649,41131610,양지동,수정구,0.0625,0.1412,0.0467,0.0414,0.0028,0.0603,0.0,1.0,0.9983,1.0,0.8,1.0,0.6,0.552,0.0828,일반,E-부적합,0,0.0,0
8930e1c90a7ffff,37.4296,127.0462,41131640,고등동,수정구,0.1394,0.1689,0.1177,0.0919,0.1591,0.1562,0.0,1.0,1.0,1.0,0.8,1.0,0.6,0.0,0.0,부적합,D-낮음,0,0.0,0
8930e026e63ffff,37.3637,127.059,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,1.0,1.0,0.9332,1.0,0.8,1.0,0.6,0.0,0.3807,드론전용,C-보통,0,0.0,0
8930e1c9a6fffff,37.3969,127.1011,41135655,삼평동,분당구,0.6423,0.1843,1.0,0.4466,1.0,0.7125,0.0,0.65,0.9177,1.0,0.8,0.34,0.6,0.5342,0.0801,일반,A-최우선,0,0.0,0
8930e1524bbffff,37.4456,127.134,41131560,태평3동,수정구,0.1411,0.2906,0.0833,0.1055,0.0324,0.1614,0.0,0.7375,0.5023,1.0,0.8,1.0,0.6,0.5379,0.0807,일반,D-낮음,0,0.0,0
8930e152e83ffff,37.4294,127.1825,41133570,상대원1동,중원구,0.5002,0.5088,0.291,0.1465,0.9372,0.6536,0.0,1.0,1.0,1.0,0.8,0.4,0.6,0.3678,0.0552,일반,A-최우선,0,0.0,0
8930e1c8abbffff,37.4578,127.1167,41131630,신촌동,수정구,0.028,0.0501,0.0271,0.0012,0.038,0.0147,0.0,1.0,1.0,1.0,0.8,1.0,0.6,0.0,0.0,부적합,E-부적합,0,0.0,0
8930e026877ffff,37.3741,127.0782,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,0.0,1.0,0.9246,1.0,0.8,1.0,0.6,0.4824,0.0724,일반,C-보통,0,0.0,0
8930e026d5bffff,37.3896,127.069,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,0.0,1.0,0.8457,1.0,0.8,1.0,0.6,0.4221,0.0633,일반,C-보통,0,0.0,0
8930e15332bffff,37.366,127.1535,41135510,분당동,분당구,0.1296,0.2834,0.1398,0.0352,0.0552,0.0845,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.5435,0.4895,Hybrid,D-낮음,0,0.0,0
8930e1c9967ffff,37.4271,127.122,41133510,성남동,중원구,0.6301,1.0,0.3908,0.4586,0.3014,1.0,0.0,1.0,0.9914,1.0,0.8,0.34,0.6,0.4403,0.066,일반,A-최우선,0,0.0,0
8930e1c9e4bffff,37.4076,127.0732,41131650,시흥동,수정구,0.1912,0.0966,0.2613,0.1288,0.3082,0.1828,0.0,1.0,0.868,1.0,0.8,0.4,0.6,0.452,0.0678,일반,D-낮음,0,0.0,0
8930e1523b3ffff,37.424,127.1689,41133670,도촌동,중원구,0.2121,0.2827,0.1929,0.1258,0.1746,0.2851,0.0,1.0,0.9897,1.0,0.8,1.0,0.6,0.3588,0.0538,일반,C-보통,0,0.0,0
8930e1c937bffff,37.4022,127.0596,41131650,시흥동,수정구,0.1912,0.0966,0.2613,0.1288,0.3082,0.1828,0.0,1.0,1.0,1.0,0.8,0.4,0.6,0.5759,0.0864,일반,D-낮음,0,0.0,0
8930e026c53ffff,37.3848,127.0503,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,0.0,1.0,0.9829,1.0,0.8,1.0,0.6,0.3845,0.0577,일반,C-보통,0,0.0,0
8930e1c9d43ffff,37.4378,127.094,41131640,고등동,수정구,0.1394,0.1689,0.1177,0.0919,0.1591,0.1562,0.0,1.0,0.928,1.0,0.8,1.0,0.6,0.5102,0.0765,일반,D-낮음,0,0.0,0
8930e1522abffff,37.4119,127.1522,41133670,도촌동,중원구,0.2121,0.2827,0.1929,0.1258,0.1746,0.2851,0.0,1.0,0.9743,1.0,0.8,1.0,0.6,0.5554,0.0833,로봇전용,C-보통,0,0.0,0
8930e152c73ffff,37.4383,127.1911,41133570,상대원1동,중원구,0.5002,0.5088,0.291,0.1465,0.9372,0.6536,0.0,1.0,1.0,1.0,0.8,0.4,0.6,0.0,0.0,부적합,A-최우선,0,0.0,0
8930e02490fffff,37.3393,127.1277,41135670,구미동,분당구,0.3798,0.4201,0.3347,0.4625,0.3012,0.3673,1.0,1.0,0.8474,1.0,0.8,0.34,0.6,0.5876,0.2057,Hybrid,B-높음,0,0.0,0
8930e153157ffff,37.3843,127.1446,41135580,서현1동,분당구,0.68,0.388,0.638,0.9968,0.6063,0.8988,0.0,1.0,0.964,1.0,0.8,1.0,0.6,0.6361,0.0954,로봇전용,A-최우선,0,0.0,0
8930e15363bffff,37.3724,127.1147,41135545,정자동,분당구,0.1949,0.2174,0.2081,0.1436,0.0869,0.3521,0.0,0.9125,0.5016,1.0,0.8,0.3,0.6,0.6528,0.0979,일반,D-낮음,0,0.0,0
8930e15044bffff,37.3862,127.1631,41135580,서현1동,분당구,0.68,0.388,0.638,0.9968,0.6063,0.8988,0.0,1.0,0.9863,1.0,0.8,1.0,0.6,0.4919,0.0738,일반,A-최우선,0,0.0,0
8930e026b4bffff,37.3559,127.0872,41135665,구미1동,분당구,0.2718,0.208,0.2213,0.3151,0.3578,0.2731,1.0,1.0,0.9897,1.0,0.8,1.0,0.6,0.0,0.4038,드론전용,C-보통,0,0.0,0
8930e1c9273ffff,37.3974,127.0409,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,0.0,1.0,0.9949,1.0,0.8,1.0,0.6,0.3173,0.0476,일반,C-보통,0,0.0,0
8930e1c9c3bffff,37.4363,127.0834,41131640,고등동,수정구,0.1394,0.1689,0.1177,0.0919,0.1591,0.1562,0.0,1.0,0.9332,1.0,0.8,1.0,0.6,0.51,0.0765,일반,D-낮음,0,0.0,0
8930e1c9a33ffff,37.4071,127.0993,41131650,시흥동,수정구,0.1912,0.0966,0.2613,0.1288,0.3082,0.1828,0.0,0.475,0.94,1.0,0.8,0.4,0.6,0.4639,0.0696,일반,D-낮음,0,0.0,0
8930e1521a3ffff,37.442,127.1731,41133570,상대원1동,중원구,0.5002,0.5088,0.291,0.1465,0.9372,0.6536,0.0,0.3,0.9366,1.0,0.8,0.4,0.6,0.4382,0.0657,일반,A-최우선,0,0.0,0
8930e026e27ffff,37.3716,127.0649,41135680,운중동,분당구,0.247,0.2067,0.2917,0.206,0.221,0.3439,0.0,1.0,0.9949,1.0,0.8,1.0,0.6,0.5557,0.0833,로봇전용,C-보통,0,0.0,0
8930e152687ffff,37.4275,127.1299,41133660,하대원동,중원구,0.1504,0.2175,0.1098,0.0897,0.1161,0.2195,0.0,0.7375,0.9092,1.0,0.8,1.0,0.6,0.5393,0.0809,일반,D-낮음,0,0.0,0
8930e026943ffff,37.3785,127.0891,41135650,판교동,분당구,0.1369,0.0968,0.1809,0.1276,0.1187,0.1817,0.0,1.0,0.9983,1.0,0.8,1.0,0.6,0.5627,0.0844,일반,D-낮음,0,0.0,0
8930e15304fffff,37.3721,127.1278,41135510,분당동,분당구,0.1296,0.2834,0.1398,0.0352,0.0552,0.0845,0.0,0.9125,0.8286,1.0,0.8,1.0,0.6,0.6957,0.1044,일반,D-낮음,0,0.0,0
8930e1c8b87ffff,37.4671,127.1332,41131625,위례동,수정구,0.4708,0.525,0.4066,0.443,0.359,0.6523,0.0,0.825,0.9451,1.0,0.8,1.0,0.6,0.4538,0.0681,일반,B-높음,0,0.0,0
8930e153533ffff,37.4025,127.1356,41135600,이매1동,분당구,0.141,0.1453,0.2138,0.1033,0.1127,0.1246,0.0,0.9125,0.9914,1.0,0.8,1.0,0.6,0.5295,0.0794,일반,D-낮음,0,0.0,0
8930e1cd207ffff,37.4562,127.1743,41133560,은행2동,중원구,0.1931,0.436,0.122,0.1345,0.032,0.1761,0.0,0.9125,0.9914,1.0,0.8,1.0,0.6,0.4877,0.0732,일반,D-낮음,0,0.0,0
8930e1c916bffff,37.4202,127.0637,41131640,고등동,수정구,0.1394,0.1689,0.1177,0.0919,0.1591,0.1562,0.0,1.0,0.9949,1.0,0.8,1.0,0.6,0.5425,0.0814,일반,D-낮음,0,0.0,0
8930e1c9b33ffff,37.4147,127.1183,41135620,야탑1동,분당구,0.4302,0.2596,0.3922,0.554,0.4649,0.5538,0.0,0.9125,0.8852,1.0,0.8,1.0,0.6,0.5768,0.0865,로봇전용,B-높음,0,0.0,0
