h3_index,lat,lon,ADM_NM,GU_NM,CSV_ADMI_CD,Ds,demand_grade,P_wind_fail,P_rain_fail,P_visibility_fail,P_drone_weather_available,weather_risk,score_weather,weather_station,weather_source,weather_period_start,weather_period_end,weather_note
8830e1c9e3fffff,37.41758740012557,127.08448012706098,시흥동,수정구,41131650,0.2292619362013324,D,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15209fffff,37.43403435078751,127.14616358120144,성남동,중원구,41133510,0.5129422940779669,A,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e026abfffff,37.36459122790785,127.07480597540216,운중동,분당구,41135680,0.34365185828235756,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15257fffff,37.44119434546412,127.15726700182977,중앙동,중원구,41133525,0.30288367892621654,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15367fffff,37.36670335314137,127.11425767848004,정자동,분당구,41135545,0.4300143748335851,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c8bdfffff,37.45927422405952,127.12731345966716,복정동,수정구,41131620,0.2465699214638441,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e02691fffff,37.38520537596634,127.09224141456379,판교동,분당구,41135650,0.29816322204591883,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e02493fffff,37.34146060287655,127.1330819594632,구미동,분당구,41135670,0.3326673998045227,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e152e1fffff,37.42309806551474,127.18722070596706,도촌동,중원구,41133670,0.2853938536924451,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1525bfffff,37.454242731938216,127.15575164883666,단대동,수정구,41131590,0.28434893207380113,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1cd25fffff,37.44835493838841,127.16837508739248,금광2동,중원구,41133540,0.37356612814517376,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1534dfffff,37.39236066559045,127.10331984012782,백현동,분당구,41135657,0.45376362521388297,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c8a3fffff,37.45253836446103,127.12412091674233,복정동,수정구,41131620,0.2465699214638441,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e152c7fffff,37.43657157934823,127.19362402579569,상대원1동,중원구,41133570,0.2265850361917555,D,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15241fffff,37.43991995453398,127.13354605039135,수진1동,수정구,41131570,0.3742992232065798,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c995fffff,37.42559957793463,127.11135910158161,시흥동,수정구,41131650,0.2292619362013324,D,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e026e3fffff,37.370472042473494,127.06221188361745,운중동,분당구,41135680,0.34365185828235756,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15333fffff,37.36880391227834,127.15374059235303,분당동,분당구,41135510,0.25547859328212585,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15227fffff,37.40162924264492,127.15390547838425,야탑3동,분당구,41135640,0.2899265421066042,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e026c9fffff,37.3961122051004,127.0512638053279,운중동,분당구,41135680,0.34365185828235756,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e024cbfffff,37.352400491801845,127.09210721615968,구미1동,분당구,41135665,0.34185927345280975,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15319fffff,37.3944741670243,127.14280972341047,이매1동,분당구,41135600,0.2805467112355271,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c9e7fffff,37.41085523442221,127.0812964518039,시흥동,수정구,41131650,0.2292619362013324,D,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1520dfffff,37.42729915399675,127.14296923197507,하대원동,중원구,41133660,0.2609272515073311,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1536bfffff,37.379743720067616,127.1127367758176,수내1동,분당구,41135520,0.8298987264166263,A,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e02695fffff,37.37847464230491,127.08905805027986,판교동,분당구,41135650,0.29816322204591883,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e152e5fffff,37.4163620062641,127.18402030314853,도촌동,중원구,41133670,0.2853938536924451,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e0268dfffff,37.377201406522644,127.06539056516498,운중동,분당구,41135680,0.34365185828235756,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c9b3fffff,37.412982494417925,127.12078062231151,야탑1동,분당구,41135620,0.7196853984687459,A,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c8b9fffff,37.46601054844003,127.1305068388629,복정동,수정구,41131620,0.2465699214638441,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1cd29fffff,37.46140501798993,127.16686144693657,양지동,수정구,41131610,0.22666966419906892,D,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15351fffff,37.400363023526324,127.13020019343577,야탑3동,분당구,41135640,0.2899265421066042,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c8a7fffff,37.44580296984704,127.12092920977979,태평1동,수정구,41131540,0.327805441111458,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e152cbfffff,37.44962464727986,127.19211491976536,상대원1동,중원구,41133570,0.2265850361917555,D,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15245fffff,37.43318489116069,127.13035344006173,성남동,중원구,41133510,0.5129422940779669,A,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15363fffff,37.373434353458165,127.11744451349315,수내1동,분당구,41135520,0.8298987264166263,A,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15047fffff,37.38942242509742,127.17122706530427,서현1동,분당구,41135580,0.46286517016966955,A,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c999fffff,37.43864138804225,127.10983635923402,고등동,수정구,41131640,0.24694815124964348,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c913fffff,37.42976852052188,127.06716291163741,고등동,수정구,41131640,0.24694815124964348,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e026e7fffff,37.363743146069815,127.05903403328095,운중동,분당구,41135680,0.34365185828235756,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15337fffff,37.362071880918485,127.15054816748868,분당동,분당구,41135510,0.25547859328212585,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1522bfffff,37.41467596448598,127.1523904615903,도촌동,중원구,41133670,0.2853938536924451,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e026cdfffff,37.38938234246297,127.04808647942949,운중동,분당구,41135680,0.34365185828235756,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1531dfffff,37.387741166896824,127.13961781505046,서현1동,분당구,41135580,0.46286517016966955,A,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c9ebfffff,37.42389259162775,127.07976898170709,시흥동,수정구,41131650,0.2292619362013324,D,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15211fffff,37.43530505757289,127.16988817456252,상대원1동,중원구,41133570,0.2265850361917555,D,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1cd61fffff,37.467291316384795,127.1542357417619,위례동,수정구,41131625,0.46287014847446417,A,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e026b3fffff,37.36585988928849,127.09847325192997,금곡동,분당구,41135662,0.3352825633228366,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15303fffff,37.381008633285695,127.13642674169367,서현1동,분당구,41135580,0.46286517016966955,A,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c9d1fffff,37.44452072330446,127.09722316476697,신촌동,수정구,41131630,0.17434483147037586,D,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e02699fffff,37.391512025342706,127.08753263276262,판교동,분당구,41135650,0.29816322204591883,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e0249bfffff,37.34777218286112,127.12837661909114,구미동,분당구,41135670,0.3326673998045227,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e152e9fffff,37.429413179784085,127.18251003438645,상대원1동,중원구,41133570,0.2265850361917555,D,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e02613fffff,37.38265294710988,127.04490998460307,운중동,분당구,41135680,0.34365185828235756,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15263fffff,37.42056442267307,127.13977571889369,도촌동,중원구,41133670,0.2853938536924451,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c9b7fffff,37.40624929396947,127.1175913531137,삼평동,분당구,41135655,0.458371381575248,A,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1cd2dfffff,37.454667662505564,127.16366246093604,은행2동,중원구,41133560,0.28440447622504966,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c931fffff,37.409573331425094,127.05762095156747,시흥동,수정구,41131650,0.2292619362013324,D,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15355fffff,37.393630156092144,127.12701002185142,이매1동,분당구,41135600,0.2805467112355271,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c8abfffff,37.458846672434696,127.11940761786323,복정동,수정구,41131620,0.2465699214638441,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e15249fffff,37.44622945842601,127.12883372758104,태평1동,수정구,41131540,0.327805441111458,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c9c5fffff,37.43019718586896,127.07505734949474,고등동,수정구,41131640,0.24694815124964348,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1504bfffff,37.40247106820838,127.169715249927,야탑3동,분당구,41135640,0.2899265421066042,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c99dfffff,37.431907223916255,127.10664761008464,고등동,수정구,41131640,0.24694815124964348,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c917fffff,37.42303632447651,127.06398142577653,고등동,수정구,41131640,0.24694815124964348,C,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e026ebfffff,37.37677607171805,127.05750390134416,운중동,분당구,41135680,0.34365185828235756,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1533bfffff,37.375116926167784,127.14903348725197,서현1동,분당구,41135580,0.46286517016966955,A,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e1c983fffff,37.4251735254627,127.1034596956185,시흥동,수정구,41131650,0.2292619362013324,D,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e026d1fffff,37.39739230253543,127.07493160014046,운중동,분당구,41135680,0.34365185828235756,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
8830e024d3fffff,37.35366319257715,127.11577802623792,금곡동,분당구,41135662,0.3352825633228366,B,0.0,0.00742,0.048849,0.944093,0.055907,0.944093,수원(119),kma_hourly_observed_1year,2025-01-01,2025-12-31,"station-level score: all H3 cells receive the same score_weather=0.9441. Source: 수원(119), 2025-01-01~2025-12-31, 8760 hourly observations."
