dong,gu,metric,index_value,category
위례동,수정구,B2B 기업 활동 지수,39.76,
위례동,수정구,B2C 소비 수요 지수,53.73,안정 수요 구역
위례동,수정구,로봇 배송 용이성 지수,59.87,
위례동,수정구,상권활력지수,44.3,
위례동,수정구,유동인구지수,41.78,
위례동,수정구,복지시설 밀도,0.261628,
은행1동,중원구,B2B 기업 활동 지수,11.25,
은행1동,중원구,B2C 소비 수요 지수,26.69,관망 구역
은행1동,중원구,로봇 배송 용이성 지수,61.64,
은행1동,중원구,상권활력지수,0.31,
은행1동,중원구,유동인구지수,0.0,
은행1동,중원구,복지시설 밀도,0.8125,
은행2동,중원구,B2B 기업 활동 지수,12.15,
은행2동,중원구,B2C 소비 수요 지수,28.4,성장 잠재 구역
은행2동,중원구,로봇 배송 용이성 지수,68.68,
은행2동,중원구,상권활력지수,13.45,
은행2동,중원구,유동인구지수,12.76,
은행2동,중원구,복지시설 밀도,0.219697,
이매1동,분당구,B2B 기업 활동 지수,21.65,
이매1동,분당구,B2C 소비 수요 지수,58.99,안정 수요 구역
이매1동,분당구,로봇 배송 용이성 지수,56.44,
이매1동,분당구,상권활력지수,10.33,
이매1동,분당구,유동인구지수,22.96,
이매1동,분당구,복지시설 밀도,0.077381,
이매2동,분당구,B2B 기업 활동 지수,10.08,
이매2동,분당구,B2C 소비 수요 지수,66.91,즉시 확장 구역
이매2동,분당구,로봇 배송 용이성 지수,56.87,
이매2동,분당구,상권활력지수,4.5,
이매2동,분당구,유동인구지수,3.78,
이매2동,분당구,복지시설 밀도,0.178571,
정자1동,분당구,B2B 기업 활동 지수,52.47,
정자1동,분당구,B2C 소비 수요 지수,72.59,즉시 확장 구역
정자1동,분당구,로봇 배송 용이성 지수,60.91,
정자1동,분당구,상권활력지수,53.04,
정자1동,분당구,유동인구지수,54.85,
정자1동,분당구,복지시설 밀도,0.166667,
정자2동,분당구,B2B 기업 활동 지수,12.19,
정자2동,분당구,B2C 소비 수요 지수,66.97,즉시 확장 구역
정자2동,분당구,로봇 배송 용이성 지수,56.29,
정자2동,분당구,상권활력지수,1.35,
정자2동,분당구,유동인구지수,11.7,
정자2동,분당구,복지시설 밀도,0.214286,
정자3동,분당구,B2B 기업 활동 지수,13.36,
정자3동,분당구,B2C 소비 수요 지수,66.31,즉시 확장 구역
정자3동,분당구,로봇 배송 용이성 지수,59.96,
정자3동,분당구,상권활력지수,29.75,
정자3동,분당구,유동인구지수,20.14,
정자3동,분당구,복지시설 밀도,0.092593,
정자동,분당구,B2B 기업 활동 지수,22.79,
정자동,분당구,B2C 소비 수요 지수,67.62,즉시 확장 구역
정자동,분당구,로봇 배송 용이성 지수,52.34,
정자동,분당구,상권활력지수,14.36,
정자동,분당구,유동인구지수,20.71,
정자동,분당구,복지시설 밀도,0.078125,
중앙동,중원구,B2B 기업 활동 지수,3.01,
중앙동,중원구,B2C 소비 수요 지수,45.62,성장 잠재 구역
중앙동,중원구,로봇 배송 용이성 지수,74.44,
중앙동,중원구,상권활력지수,4.53,
중앙동,중원구,유동인구지수,9.56,
중앙동,중원구,복지시설 밀도,0.7,
태평1동,수정구,B2B 기업 활동 지수,14.36,
태평1동,수정구,B2C 소비 수요 지수,15.18,관망 구역
태평1동,수정구,로봇 배송 용이성 지수,64.27,
태평1동,수정구,상권활력지수,9.16,
태평1동,수정구,유동인구지수,16.23,
태평1동,수정구,복지시설 밀도,0.261905,
태평2동,수정구,B2B 기업 활동 지수,16.29,
태평2동,수정구,B2C 소비 수요 지수,14.27,관망 구역
태평2동,수정구,로봇 배송 용이성 지수,59.89,
태평2동,수정구,상권활력지수,5.7,
태평2동,수정구,유동인구지수,8.23,
태평2동,수정구,복지시설 밀도,0.678571,
태평3동,수정구,B2B 기업 활동 지수,13.18,
태평3동,수정구,B2C 소비 수요 지수,14.3,관망 구역
태평3동,수정구,로봇 배송 용이성 지수,58.28,
태평3동,수정구,상권활력지수,10.55,
태평3동,수정구,유동인구지수,9.06,
태평3동,수정구,복지시설 밀도,1.0,
태평4동,수정구,B2B 기업 활동 지수,3.09,
태평4동,수정구,B2C 소비 수요 지수,11.67,관망 구역
태평4동,수정구,로봇 배송 용이성 지수,69.95,
태평4동,수정구,상권활력지수,34.78,
태평4동,수정구,유동인구지수,4.96,
태평4동,수정구,복지시설 밀도,0.65,
판교동,분당구,B2B 기업 활동 지수,23.14,
판교동,분당구,B2C 소비 수요 지수,81.09,즉시 확장 구역
판교동,분당구,로봇 배송 용이성 지수,67.16,
판교동,분당구,상권활력지수,12.76,
판교동,분당구,유동인구지수,18.65,
판교동,분당구,복지시설 밀도,0.063492,
하대원동,중원구,B2B 기업 활동 지수,20.94,
하대원동,중원구,B2C 소비 수요 지수,30.2,관망 구역
하대원동,중원구,로봇 배송 용이성 지수,61.37,
하대원동,중원구,상권활력지수,8.97,
하대원동,중원구,유동인구지수,11.49,
하대원동,중원구,복지시설 밀도,0.205882,
